["port 1","LEFT"]
["port 3","RIGHT"]
["port 5","RIGHT"]
["port 4","RIGHT"]
["port 6","RIGHT"]
["port 2","RIGHT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(45, 3)
1.9156067603833869e+14 4.1074490059943639e-03 -2.7834226780615849e+00
1.9165809156556488e+14 7.1642512002855971e-03 -2.1032352750955359e+00
1.9175560622183459e+14 1.1663607622427083e-02 -1.1373003608230965e+00
1.9185322015853397e+14 1.1508455000170647e-02 -6.1240058368093431e-02
1.9195093352735741e+14 8.0654693017882528e-03 1.2657970036439037e+00
1.9204874648030866e+14 5.7973999911773155e-03 2.2826708679171279e+00
1.9214665916970141e+14 2.9930096335617764e-03 2.9899891728333610e+00
1.9224467174816003e+14 1.0429242086956744e-03 3.6086751775216350e+00
1.9234278436862062e+14 5.7174753236199308e-04 1.2603294856348950e+00
1.9244099718433150e+14 2.0091689496096882e-03 1.8556132917967350e+00
1.9253931034885419e+14 3.8067152029807316e-03 2.4451065644423657e+00
1.9263772401606428e+14 6.3068268395910319e-03 3.1322682600474230e+00
1.9273623834015197e+14 1.0029412241139115e-02 3.9543848670591064e+00
1.9283485347562316e+14 1.5192250432002971e-02 5.0023492154657099e+00
1.9293356957730000e+14 1.8197195477557000e-02 6.4668288977382673e+00
1.9303238680032197e+14 6.2501139297931442e-03 7.4691055959988901e+00
1.9313130530014641e+14 3.4358551784169772e-03 8.5598773884195367e+00
1.9323032523254962e+14 1.0899116758454456e-03 9.4533200002751450e+00
1.9332944675362744e+14 6.5641826536759343e-04 8.0425827500112828e+00
1.9342867001979619e+14 1.6033437814088243e-03 8.5992883655163688e+00
1.9352799518779344e+14 2.4349942344920037e-03 9.3249011093079197e+00
1.9362742241467891e+14 3.4458249410056819e-03 1.0099276635904848e+01
1.9372695185783522e+14 4.4242015210583328e-03 1.0769111986698800e+01
1.9382658367496878e+14 6.5163452296839340e-03 1.1516680720550180e+01
1.9392631802411056e+14 9.1227324725508315e-03 1.2440379952300706e+01
1.9402615506361700e+14 7.2871554547478453e-03 1.2888691895110611e+01
1.9412609495217072e+14 1.3504753412815394e-02 1.4286667010787403e+01
1.9422613784878159e+14 7.3091567544550573e-03 1.4852189608682668e+01
1.9432628391278728e+14 3.3056865755158446e-03 1.4922647245901222e+01
1.9442653330385438e+14 3.3786976350093562e-03 1.5055806160687842e+01
1.9452688618197906e+14 3.5607050917027469e-03 1.5504140299829505e+01
1.9462734270748803e+14 3.3761774649313262e-03 1.6056130217967933e+01
