["port 1","LEFT"]
["port 3","RIGHT"]
["port 5","RIGHT"]
["port 4","RIGHT"]
["port 6","RIGHT"]
["port 2","RIGHT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(30, 3)
1.8737028625000000e+14 5.9722073706291066e-03 1.1507867596942398e+00
1.8777497369330453e+14 1.6334381515436707e-03 -1.4206909520848721e+00
1.8818141303030303e+14 1.7137807525985703e-03 -5.4085009373625725e-01
1.8858961566160522e+14 1.4445381485505655e-03 -3.4688546967667251e+00
1.8899959308695653e+14 1.7031485484697107e-03 -2.7989100026398326e+00
1.8941135690631806e+14 6.4279427151273105e-04 -1.5821894165110051e+00
1.8982491882096069e+14 6.6201413357320734e-04 -4.5800051690007937e+00
1.9024029063457331e+14 2.4608185715115569e-03 -2.9177422061272753e+00
1.9065748425438597e+14 2.8625991364827569e-03 -9.2043823959234927e-01
1.9107651169230769e+14 2.5716175640009145e-03 -3.9832402724072882e+00
1.9149738506607931e+14 2.8629911136522565e-03 -3.0881904971864014e+00
1.9192011660044150e+14 9.5939217245190646e-03 -5.3967860906929319e+00
1.9234471862831859e+14 6.0186975638723832e-04 -5.0160017550845417e+00
1.9277120359201775e+14 1.1723789357048110e-02 -1.9896581971441529e+00
1.9319958404444447e+14 1.7513802688023643e-03 -3.3342077721479351e+00
1.9362987265033406e+14 3.4769744566405920e-03 -2.4485719094569984e+00
1.9406208218750000e+14 1.1037067750884883e-02 -5.2608222901744055e+00
1.9449622554809844e+14 3.5339812414385443e-03 -3.4989855227304427e+00
1.9493231573991031e+14 4.3231935487926280e-03 -2.5864714722848641e+00
1.9537036588764044e+14 1.4405986177025423e-03 -1.4133497733735210e+00
1.9581038923423425e+14 3.1451715727317162e-03 1.4290067550199332e+00
1.9625239914221219e+14 5.2324659595333178e-03 2.7642805840958706e+00
1.9669640909502262e+14 3.5077784377422387e-03 5.6466914742066390e+00
1.9714243269841272e+14 1.6500414060319681e-02 3.1956623115727840e+00
1.9759048368181819e+14 1.5196430693038927e-03 5.5872537892010632e+00
1.9804057589977219e+14 8.1786852653170563e-03 3.3298208657919819e+00
1.9849272333333331e+14 4.4132696798701758e-03 1.1095493966253511e+00
1.9894694009153316e+14 5.3963603429815418e-03 2.2531276543110743e+00
1.9940324041284403e+14 7.8924338681792636e-03 -3.0301567889006214e-02
1.9986163866666666e+14 7.0201815112393385e-03 1.4118072082501549e+00
("port 1","mode 1",1,"port 2",1,"transmission")
(30, 3)
1.8737028625000000e+14 3.8492317045699964e-01 -1.2606692891543572e+00
1.8777497369330453e+14 3.9356286840055604e-01 8.3515372629600224e-02
1.8818141303030303e+14 3.9332317889022722e-01 1.4036581143480638e+00
1.8858961566160522e+14 4.0128115511668888e-01 2.7456167130360347e+00
1.8899959308695653e+14 4.0080898172887242e-01 4.0843184110530171e+00
1.8941135690631806e+14 4.0865397381041269e-01 5.4309057129323932e+00
1.8982491882096069e+14 4.0793575625381473e-01 6.7928770612671974e+00
1.9024029063457331e+14 4.1395104245697290e-01 8.1511764630158865e+00
1.9065748425438597e+14 4.1725613627817121e-01 9.5297593821333795e+00
1.9107651169230769e+14 4.1835286589352033e-01 1.0894794674639002e+01
1.9149738506607931e+14 4.2273779324750188e-01 1.2291762595409406e+01
1.9192011660044150e+14 4.1643342681064471e-01 1.3668011194890168e+01
1.9234471862831859e+14 4.2800051979918102e-01 1.5076786623976741e+01
1.9277120359201775e+14 4.2213084950233937e-01 1.6500085586063815e+01
1.9319958404444447e+14 4.2691150684596324e-01 1.7869718058706422e+01
1.9362987265033406e+14 4.3023088388803593e-01 1.9317830315382466e+01
1.9406208218750000e+14 4.0077831209602183e-01 2.0741298618572277e+01
1.9449622554809844e+14 4.3005235448722884e-01 2.2164946886753370e+01
1.9493231573991031e+14 4.1383007263952698e-01 2.3634864352686279e+01
1.9537036588764044e+14 4.2227291379836907e-01 2.5019370191941842e+01
1.9581038923423425e+14 4.2062749784669784e-01 2.6507064122285698e+01
1.9625239914221219e+14 3.9500759756705589e-01 2.7880436640069867e+01
1.9669640909502262e+14 4.1213452963128122e-01 2.9343750415609794e+01
1.9714243269841272e+14 3.9122268244237185e-01 3.0846172334303638e+01
1.9759048368181819e+14 3.9960944843003671e-01 3.2212477178052382e+01
1.9804057589977219e+14 4.0151604531988783e-01 3.3705847121413861e+01
