["port 4","RIGHT"]
["port 6","RIGHT"]
["port 1","LEFT"]
["port 3","RIGHT"]
["port 2","RIGHT"]
["port 5","RIGHT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(15, 3)
1.8169239878787881e+14 1.2804396633364962e-02 -5.8504041947846952e-01
1.8264118416013928e+14 1.8498567394520583e-02 -2.5148542989339782e+00
1.8359993053368331e+14 3.2039303396182283e-03 -1.3058050157693415e-02
1.8456879560246262e+14 6.5615623023216885e-03 -2.0285390899955460e+00
1.8554794040671972e+14 6.2288228959673118e-03 -3.2746489949481963e+00
1.8653752942222225e+14 8.8947791769751934e-03 -3.4572667899753240e+00
1.8753773065236819e+14 5.5592185537986991e-03 -3.5449173457246013e+00
1.8854871572327044e+14 1.6315333075242943e-03 -3.9541427003772331e+00
1.8957065998193316e+14 1.8715716200741429e-03 -6.9294997252277044e+00
1.9060374259763853e+14 2.8378644883523142e-03 -7.4538769411327204e+00
1.9164814666666669e+14 6.5834139202175521e-03 -8.4643535199445648e+00
1.9270405932047750e+14 8.5074476611281102e-03 -8.9529297569161521e+00
1.9377167183748847e+14 4.6479794583555254e-03 -7.7008064294266614e+00
1.9485117975858869e+14 1.4417192786973737e-03 -8.4470789376496533e+00
1.9594278300653594e+14 4.1060642765239847e-03 -1.1130966986211154e+01
("port 1","mode 1",1,"port 2",1,"transmission")
(15, 3)
1.8169239878787881e+14 3.1584511581261315e-01 -5.6297852047961761e-01
1.8264118416013928e+14 3.4472192015518466e-01 2.4640616634043875e+00
1.8359993053368331e+14 3.4970770174157018e-01 5.4940942829458201e+00
1.8456879560246262e+14 3.6332670806735645e-01 8.5979897395898259e+00
1.8554794040671972e+14 3.7118052197682272e-01 1.1734545607397481e+01
1.8653752942222225e+14 3.8350746120668416e-01 8.6372510703970864e+00
1.8753773065236819e+14 3.9202970831907563e-01 5.5727493131608243e+00
1.8854871572327044e+14 4.0112135694918233e-01 2.6086469033355759e+00
1.8957065998193316e+14 4.1077543768458241e-01 -3.2402063267797354e-01
1.9060374259763853e+14 4.1775280369834272e-01 -3.2164972987068641e+00
1.9164814666666669e+14 4.2087523031372365e-01 -6.0571331934701389e+00
1.9270405932047750e+14 4.2470775886982637e-01 -8.8568345622109206e+00
1.9377167183748847e+14 4.2820407443014130e-01 -1.1621646328668040e+01
1.9485117975858869e+14 4.2009468262737876e-01 -1.4335515148938867e+01
1.9594278300653594e+14 4.1662198387173760e-01 -1.7035488440675284e+01
("port 1","mode 1",1,"port 3",1,"transmission")
(15, 3)
1.8169239878787881e+14 3.9169070506681458e-01 -2.4631903905212749e+00
1.8264118416013928e+14 3.9629240578807706e-01 5.6482582329173758e-01
1.8359993053368331e+14 4.0109379958729185e-01 3.6385902928512337e+00
1.8456879560246262e+14 4.0317967620955708e-01 6.7379283633026050e+00
1.8554794040671972e+14 4.0493653687290526e-01 3.6051749450272115e+00
1.8653752942222225e+14 4.0648641178591738e-01 5.0750707882777835e-01
1.8753773065236819e+14 4.0519745652312078e-01 -2.5347328916863314e+00
1.8854871572327044e+14 4.0898931109500170e-01 -5.5081436217407456e+00
1.8957065998193316e+14 4.1455870761928515e-01 -8.4469231439931036e+00
1.9060374259763853e+14 4.1771920938579848e-01 -1.1348105214073827e+01
1.9164814666666669e+14 4.1863532526219582e-01 -1.4197675302961560e+01
1.9270405932047750e+14 4.1741255985952908e-01 -1.7010844487237559e+01
1.9377167183748847e+14 4.1793255977199367e-01 -1.9773102195426326e+01
1.9485117975858869e+14 4.1520863405415409e-01 -2.2520416716241620e+01
1.9594278300653594e+14 4.0157079865451906e-01 -2.5209393297809598e+01
("port 1","mode 1",1,"port 4",1,"transmission")
(15, 3)
1.8169239878787881e+14 4.0453029685992159e-01 3.0548035059339065e+00
1.8264118416013928e+14 3.9853439762031995e-01 -2.5313493144857431e-02
1.8359993053368331e+14 4.3575779524383601e-01 3.0399499631807037e+00
1.8456879560246262e+14 4.3739144690468956e-01 6.1689488314956851e+00
1.8554794040671972e+14 4.4384373357505336e-01 9.3045499020686506e+00
1.8653752942222225e+14 4.3405855961926582e-01 6.2165013999961856e+00
1.8753773065236819e+14 4.4117573278170280e-01 3.1761363825066273e+00
1.8854871572327044e+14 4.3214080287203377e-01 1.8652163897772508e-01
1.8957065998193316e+14 4.2364680012237815e-01 -2.7544825213624664e+00
1.9060374259763853e+14 4.1630926952450392e-01 -5.6651514796199800e+00
1.9164814666666669e+14 4.0936920666395593e-01 -8.5298940108518071e+00
1.9270405932047750e+14 4.0204356571260580e-01 -1.1341501549708447e+01
1.9377167183748847e+14 4.0809264093755238e-01 -1.4106116993433593e+01
1.9485117975858869e+14 4.0058606760616011e-01 -1.6861133012466091e+01
1.9594278300653594e+14 3.9093219551833774e-01 -1.9518429113307498e+01
("port 1","mode 1",1,"port 5",1,"transmission")
(15, 3)
1.8169239878787881e+14 3.9169069937502915e-01 -2.4631903673786559e+00
1.8264118416013928e+14 3.9629239897653179e-01 5.6482584691958726e-01
1.8359993053368331e+14 4.0109379160351605e-01 3.6385903207920691e+00
1.8456879560246262e+14 4.0317966916027004e-01 6.7379283897243889e+00
1.8554794040671972e+14 4.0493652947290459e-01 3.6051749687174142e+00
1.8653752942222225e+14 4.0648639829079763e-01 5.0750711115459901e-01
1.8753773065236819e+14 4.0519744614209130e-01 -2.5347328695904854e+00
1.8854871572327044e+14 4.0898928985208305e-01 -5.5081435822250011e+00
1.8957065998193316e+14 4.1455868234247201e-01 -8.4469231047333686e+00
1.9060374259763853e+14 4.1771918455525803e-01 -1.1348105178098583e+01
1.9164814666666669e+14 4.1863529619715079e-01 -1.4197675273345583e+01
1.9270405932047750e+14 4.1741253914231202e-01 -1.7010844465465464e+01
1.9377167183748847e+14 4.1793251667763842e-01 -1.9773102195817224e+01
1.9485117975858869e+14 4.1520860095393219e-01 -2.2520416722841738e+01
1.9594278300653594e+14 4.0157077081076098e-01 -2.5209393297914655e+01
("port 1","mode 1",1,"port 6",1,"transmission")
(15, 3)
1.8169239878787881e+14 3.1584512730823588e-01 -5.6297852292827399e-01
1.8264118416013928e+14 3.4472193171295634e-01 2.4640616647241900e+00
1.8359993053368331e+14 3.4970771607627460e-01 5.4940942858501902e+00
1.8456879560246262e+14 3.6332672067569655e-01 8.5979897446782090e+00
1.8554794040671972e+14 3.7118053448993349e-01 1.1734545610678040e+01
1.8653752942222225e+14 3.8350748421835307e-01 8.6372510726749869e+00
1.8753773065236819e+14 3.9202972324065732e-01 5.5727493153840824e+00
1.8854871572327044e+14 4.0112138820195803e-01 2.6086469079273491e+00
1.8957065998193316e+14 4.1077547286431182e-01 -3.2402063051769542e-01
1.9060374259763853e+14 4.1775283926954654e-01 -3.2164972963997602e+00
1.9164814666666669e+14 4.2087526834015843e-01 -6.0571331981568699e+00
1.9270405932047750e+14 4.2470778992487906e-01 -8.8568345656004421e+00
1.9377167183748847e+14 4.2820412304758032e-01 -1.1621646366831490e+01
1.9485117975858869e+14 4.2009471994537328e-01 -1.4335515182400686e+01
1.9594278300653594e+14 4.1662201492975803e-01 -1.7035488463159041e+01
("port 2","mode 1",1,"port 1",1,"transmission")
(15, 3)
1.8169239878787881e+14 3.1661198686926256e-01 -5.2472165385442637e-01
1.8264118416013928e+14 3.3578202448584277e-01 2.4512241320802679e+00
1.8359993053368331e+14 3.4896509266677161e-01 5.4982527124167015e+00
1.8456879560246262e+14 3.5688827041769838e-01 8.5823840434180951e+00
1.8554794040671972e+14 3.6501841609945640e-01 5.4461147521840143e+00
1.8653752942222225e+14 3.7841596300485730e-01 2.3508569348261150e+00
1.8753773065236819e+14 3.8647013588146423e-01 -7.0730622190179804e-01
1.8854871572327044e+14 3.9819607853835115e-01 -3.6754893668437898e+00
1.8957065998193316e+14 4.1049542866959859e-01 -6.6159446297343578e+00
1.9060374259763853e+14 4.1426846205332962e-01 -9.5008025776863647e+00
1.9164814666666669e+14 4.2025814505950210e-01 -1.2339428181137004e+01
1.9270405932047750e+14 4.2603788309525248e-01 -1.5140757797053817e+01
1.9377167183748847e+14 4.2660536612272942e-01 -1.7901272365744575e+01
1.9485117975858869e+14 4.2213713047991158e-01 -2.0624351087889647e+01
1.9594278300653594e+14 4.1733536759025386e-01 -2.3317797313906254e+01
("port 2","mode 1",1,"port 2",1,"transmission")
(15, 3)
1.8169239878787881e+14 1.9912345786696428e-02 -3.0572736312822388e+00
1.8264118416013928e+14 1.5781307813532524e-02 -2.7140520220812867e+00
1.8359993053368331e+14 1.3841927149546993e-02 -7.8466151429862718e-01
1.8456879560246262e+14 1.6831044929214580e-02 1.7011155111609098e+00
1.8554794040671972e+14 2.0708066979191381e-02 1.5499005061546749e+00
1.8653752942222225e+14 2.0623833680808437e-03 3.4820376084152409e+00
1.8753773065236819e+14 9.9991385960232059e-03 1.0296234741672352e+00
1.8854871572327044e+14 1.3261014100241149e-02 8.8939474909124538e-01
1.8957065998193316e+14 1.2435589728624775e-02 -2.2197854405709032e+00
1.9060374259763853e+14 2.2095374801420143e-02 -1.5192962211287075e+00
1.9164814666666669e+14 4.2033137056693495e-02 -3.5415098164573751e+00
1.9270405932047750e+14 4.8862197490892254e-02 -4.2349271389941547e+00
1.9377167183748847e+14 5.5012429052890548e-02 -2.9994286774222227e+00
1.9485117975858869e+14 1.7702871256491209e-02 -2.1718524861385080e+00
1.9594278300653594e+14 9.5456982403486455e-03 -2.1776867906608017e+00
("port 2","mode 1",1,"port 3",1,"transmission")
(15, 3)
1.8169239878787881e+14 5.5755115074067843e-02 1.2178956357094914e+00
1.8264118416013928e+14 6.5841836935982390e-02 2.1242785562913097e-01
1.8359993053368331e+14 5.5066989194539277e-02 -6.6097843479444396e-01
1.8456879560246262e+14 6.8458437795737778e-02 -2.0111456710565467e+00
1.8554794040671972e+14 6.1654264716793847e-02 -2.9685489622495806e+00
1.8653752942222225e+14 7.0789934550054653e-02 -3.7705888926301445e+00
1.8753773065236819e+14 6.0054804829855597e-02 -4.4904504318227572e+00
1.8854871572327044e+14 6.1115631441090043e-02 -5.2829337871663302e+00
1.8957065998193316e+14 7.0374863027658704e-02 -6.3055047865713219e+00
1.9060374259763853e+14 3.1401273050222368e-02 -3.1653237851907479e+00
1.9164814666666669e+14 2.5138661013165394e-03 -5.7072749014054871e+00
1.9270405932047750e+14 1.5207615832447138e-02 -7.6468524734596723e+00
1.9377167183748847e+14 1.6507938874801054e-02 -7.6853473462206594e+00
1.9485117975858869e+14 4.4719028409953787e-02 -8.2880840400976599e+00
1.9594278300653594e+14 4.1834678149915851e-02 -8.5358813620429288e+00
("port 2","mode 1",1,"port 4",1,"transmission")
(15, 3)
1.8169239878787881e+14 9.8820160354243184e-03 1.6858002395940490e+00
1.8264118416013928e+14 5.6766128608922058e-03 4.3994735435678312e+00
1.8359993053368331e+14 8.4093008220006982e-03 6.5826991834728661e+00
1.8456879560246262e+14 6.9779037426440744e-03 5.2540430541169556e+00
1.8554794040671972e+14 2.9949668036834327e-03 3.8442906850220728e+00
1.8653752942222225e+14 3.9807309340758445e-03 2.9167500687810208e+00
1.8753773065236819e+14 6.8523893012317517e-03 2.2735572439184737e+00
1.8854871572327044e+14 3.3543092070989935e-03 1.6307076462334158e+00
1.8957065998193316e+14 5.1604394822840609e-03 1.7302191565361598e+00
1.9060374259763853e+14 5.5805150720298919e-03 1.1478362828799138e+00
1.9164814666666669e+14 3.6405760768832558e-03 8.7067738849996212e-01
1.9270405932047750e+14 3.5361239220868300e-03 6.4547513392335254e-01
1.9377167183748847e+14 5.0210901842217348e-03 -1.0990488111312191e+00
1.9485117975858869e+14 2.9076796608339672e-03 3.9341123082256874e-01
1.9594278300653594e+14 2.2164209765015634e-03 2.8857879156953070e-01
("port 2","mode 1",1,"port 5",1,"transmission")
(15, 3)
1.8169239878787881e+14 3.4859070618950536e-02 -1.9488980694723887e+00
1.8264118416013928e+14 5.1873480352906280e-02 -3.3208938271554942e+00
1.8359993053368331e+14 4.8049159581598146e-02 -3.7525803660984707e+00
1.8456879560246262e+14 6.8568317815268232e-02 -5.1616856105524604e+00
1.8554794040671972e+14 6.1449050484600608e-02 -6.1694062002967964e+00
1.8653752942222225e+14 7.1742969644918705e-02 -6.9884772799569577e+00
1.8753773065236819e+14 6.7842922607794204e-02 -7.7189725440331065e+00
1.8854871572327044e+14 6.3848521238466766e-02 -8.4908000797347345e+00
1.8957065998193316e+14 7.5248148327975203e-02 -9.3737196004227830e+00
1.9060374259763853e+14 2.5974747457801033e-02 -1.2312491251437017e+01
1.9164814666666669e+14 6.3703860194980781e-03 -1.5141270380150010e+01
1.9270405932047750e+14 1.7841672635188672e-02 -1.6978732622760294e+01
1.9377167183748847e+14 1.8784815770818412e-02 -1.7709479065978002e+01
1.9485117975858869e+14 4.8814755503846084e-02 -1.7681293584664264e+01
1.9594278300653594e+14 4.4845282091830252e-02 -1.7922988593210313e+01
("port 2","mode 1",1,"port 6",1,"transmission")
(15, 3)
1.8169239878787881e+14 1.6732540165314495e-02 2.0598074681944487e+00
